No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
634,116980.01,,,,,,,,,,,,,,,,,,,,,20,19.6,19.07,18.18,17.29,16.54,14.83,14.63,12.54,12.21,11.69,11.12,10.89,9.75,2.59,2.19,0.47,0.17,0,2.17,6.76,8.02,11.47,13.84,15.71,17.37,17.98,18.67,19.22,19.94,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1329.76,1329.839,1329.929,1329.844,1329.746,1329.559,1329.448,1329.468,1329.469,1329.538,1329.491,1329.469,1329.411,1329.381,1329.286,1329.277,1329.315,1329.218,1329.469,1329.137,1328.775,1328.628,1328.499,1328.542,1328.391,1328.375,1328.306,1328.191,1328.232,1328.249,1328.208,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,116992.15,,,,,,,,,,,,,,,,,,,,,,,,20,19.95,18.52,16.77,16.63,15.65,15.52,14.63,13.84,9.82,8.57,2.58,2,1.49,0.33,0,1.96,3.95,4.47,5.2,6.03,14.67,15.02,15.45,16.08,16.53,17.36,18.63,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1329.705,1329.757,1329.887,1329.596,1329.659,1329.559,1329.66,1329.759,1329.398,1329.41,1329.383,1329.259,1329.255,1329.226,1329.117,1329.334,1328.961,1328.927,1328.841,1328.911,1329,1328.6,1328.517,1328.508,1328.533,1328.494,1328.412,1328.35,1328.344,,,,,,,,,,,,,,,,,,,,,,,,,,
636,117000,,,,,,,,,,,,,,,,,,,,,,20,19.37,18.83,18.37,17.91,17.16,16.76,16.37,13.36,12.53,11.94,11.59,10.67,10.47,9.67,3.41,2.72,0,0.97,2.41,4.07,5.96,7,8.1,14.73,16.53,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1330.138,1330.102,1330.07,1330.168,1329.965,1329.899,1329.773,1329.753,1329.702,1329.647,1329.61,1329.565,1329.409,1329.362,1329.406,1329.206,1329.207,1329.418,1329.127,1329.019,1329.253,1329.227,1329.235,1329.132,1328.609,1328.568,1328.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,117012.12,,,,,,,,,,,,,,,,,,,,20,18.62,17,16.83,15.5,15.45,15.4,13.62,13.6,13.33,12.56,11.91,9.27,8.16,2.24,1.26,1.08,0.68,0.41,0,0.65,1.11,2.05,7.82,8.18,9.56,10.2,10.82,11.68,12.4,15.71,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1330.154,1330.067,1330.05,1330.046,1330.131,1330.117,1330.159,1329.396,1329.341,1329.436,1329.24,1329.204,1329.407,1329.333,1329.317,1329.191,1329.16,1329.054,1329.187,1329.48,1329.29,1329.296,1329.195,1328.861,1328.863,1328.76,1328.826,1328.936,1328.908,1328.791,1328.732,1328.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,117020,,,,,,,,,,,,,,,,,,,,,,20,19.73,19.17,18.61,17.47,15.92,15,12.62,12.31,11.64,11.36,11.12,10.52,10.18,9.34,2.39,1.97,0,3.38,4.93,6.43,8.55,10.31,11.51,13.09,19.82,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1330.251,1330.352,1330.343,1330.405,1329.92,1329.703,1329.635,1329.685,1329.671,1329.634,1329.607,1329.613,1329.351,1329.352,1329.328,1329.254,1329.294,1329.39,1328.884,1329.226,1329.392,1329.22,1329.046,1329.053,1328.995,1328.625,1328.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,117031.43,,,,,,,,,,,,,,,,,,,,,,,,20,19.03,16.94,16.91,16.7,16.04,15.28,13.38,12.31,9.66,8.2,2.29,1.54,0.5,0.2,0,0.85,1.27,2.86,3.72,11.76,12.05,14.88,17.98,18.4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1330.306,1330.28,1330.078,1330.108,1330.082,1329.962,1330.062,1329.382,1329.459,1329.363,1329.356,1329.244,1329.143,1329.096,1329.14,1329.468,1329.36,1329.407,1329.387,1329.305,1329.229,1329.13,1328.997,1328.922,1328.887,1328.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,117040,,,,,,,,,,,,,,,,,,,,,,20,19.68,19.25,18.84,18.18,17.51,17.01,13.98,13.06,11.98,11.67,11.15,10.64,10.45,9.5,2.98,2.4,0,4.22,4.89,6.96,8.01,13.59,14.53,17.04,18.91,19.85,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1330.514,1330.535,1330.458,1330.463,1330.18,1330.374,1330.228,1330.06,1329.849,1329.653,1329.549,1329.585,1329.332,1329.277,1329.387,1329.183,1329.215,1329.368,1329.489,1329.54,1329.635,1329.368,1329.159,1329.149,1328.942,1328.843,1328.845,1328.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,117052.3,,,,,,,,,,,,,,,,,,,,,,,,,20,19.9,16.91,16.85,15.91,14.22,12.6,11.98,8.93,7.47,1.79,0.91,0.6,0.38,0,0.82,1.65,11.01,11.03,11.54,11.76,12.3,18.91,19.73,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1330.65,1330.641,1330.197,1330.202,1329.898,1329.958,1329.062,1329.046,1329.225,1329.233,1329.087,1329.092,1329.021,1328.998,1329.375,1329.254,1329.327,1329.429,1329.415,1329.398,1329.421,1329.3,1328.891,1328.95,1328.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,117060,,,,,,,,,,,,,,,,,,,,,,,,20,19.48,18.76,18.26,17.18,16.41,15.28,14.82,11.33,10.44,10.17,9.67,8.71,1.69,1.4,0,3.27,4.56,5.08,5.41,6.04,7.35,7.97,9.28,12.86,14.24,17.91,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1330.34,1330.184,1330.26,1330.396,1330.405,1330.171,1329.607,1329.477,1329.479,1329.36,1329.39,1329.229,1329.237,1329.112,1329.078,1329.227,1329.051,1329.247,1329.435,1329.463,1329.493,1329.618,1329.677,1329.486,1329.238,1329.272,1328.955,1328.933,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,117072.49,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,18.78,15.53,15.48,14.36,12.36,8.5,7.08,1.13,0.64,0.42,0,0.69,0.89,1.27,9.88,9.9,9.91,9.94,10.08,10.19,10.43,19.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330.582,1330.531,1330.26,1329.77,1329.773,1330.003,1329.176,1329.221,1329.139,1329.051,1329.025,1329.027,1329.213,1329.12,1329.227,1329.265,1329.467,1329.451,1329.482,1329.499,1329.457,1329.504,1329.436,1329.049,1329.011,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,117080,,,,,,,,,,,,,,,,,,,20,19.78,17.81,17.12,16.4,15.74,14.31,14,13.76,13.47,12.81,10.08,9.87,9.42,9.08,9.03,8.23,1.13,0.91,0.9,0,2.32,4.03,5.54,6.41,7.56,7.89,8.26,13.53,17.08,19.12,19.13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1330.387,1330.352,1330.166,1330.339,1330.014,1330.104,1329.686,1329.735,1329.571,1329.501,1329.428,1329.347,1329.318,1329.356,1329.089,1329.126,1329.163,1329.005,1329.011,1329,1329.276,1328.878,1328.821,1329.386,1329.472,1329.727,1329.682,1329.695,1329.299,1329.131,1328.988,1328.967,1328.937,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,117092.92,,,,,,,,,,,,,,,,,,,,,,,,,20,19.88,17.61,17.5,17.19,15.02,14.87,14.06,12.27,10.91,10.71,7.55,5.87,0.36,0,0.23,8.38,8.61,8.65,8.75,8.8,8.83,8.86,8.92,8.99,9.09,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1330.977,1331.081,1330.567,1330.6,1330.464,1329.992,1330.023,1329.799,1329.812,1329.107,1329.025,1329.162,1329.106,1328.989,1329.249,1328.983,1329.51,1329.482,1329.531,1329.507,1329.473,1329.485,1329.563,1329.529,1329.535,1329.523,1329.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,117100,,,,,,,,,,,,,,,,,,,,,,,20,19.4,17.85,15.45,14.42,13.05,12.53,12.16,8.79,8.65,8.35,8.29,8.18,7.99,7.63,7.1,0,0.42,0.43,0.69,4.63,5.36,7.18,7.99,8.54,9.07,10.01,11.33,12.99,19.12,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1330.585,1330.565,1330.428,1330.088,1330.244,1329.595,1329.349,1329.343,1329.394,1329.35,1329.23,1329.198,1329.244,1329.192,1329.122,1329.11,1329.252,1328.965,1328.945,1328.941,1329.051,1329.006,1329.265,1329.433,1329.557,1329.611,1329.452,1329.435,1329.367,1329.096,1329.023,,,,,,,,,,,,,,,,,,,,,,,,,
647,117114.74,,,,,,,,,,,,,,,,,,,,,,20,19.57,18.86,17.1,15.65,14.89,14.48,14.37,13.16,12.83,12.2,11.1,9.02,5.99,4.78,4.69,0.33,0,1.14,5.99,7,7.47,7.76,7.95,8.19,8.55,8.84,18.24,18.7,19.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1330.82,1330.89,1331.19,1330.53,1330.447,1330.297,1330.114,1330.125,1329.715,1329.654,1329.543,1329.639,1328.829,1329.061,1329.019,1329.054,1328.968,1329.233,1328.94,1329.15,1329.119,1329.152,1329.111,1329.204,1329.159,1329.174,1329.251,1329.028,1329.117,1328.95,1328.976,,,,,,,,,,,,,,,,,,,,,,,,,,
648,117120,,,,,,,,,,,,,,,,20,19.9,19.4,18.16,17.14,,16.6,16.16,15.36,14.63,13.9,13.01,12.47,10.64,10.35,6.97,6.72,6.52,6.42,6.2,5.9,5.55,0.59,0,1.45,2,5.1,6.55,7.44,8.04,8.77,9.89,10.8,15.1,16,18.4,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1330.803,1330.812,1330.954,1330.545,1330.453,,1330.293,1330.242,1329.956,1329.977,1329.807,1329.919,1329.941,1329.235,1329.161,1329.19,1329.197,1329.153,1329.151,1329.113,1328.97,1329.014,1329.029,1329.236,1328.839,1328.835,1328.77,1328.913,1328.869,1329.116,1329.151,1329.246,1329.218,1329.135,1329.192,1328.938,1328.936,,,,,,,,,,,,,,,,,,,,,,,,,,
649,117130.01,,,,,,,,,,,,,,,,,,20,19.86,19.75,19.66,19.49,17.3,17.11,16.87,15.09,14.54,13.47,12.39,11.07,9.94,9.4,8.24,6.62,4.69,2.35,2.08,1.28,0,0.5,0.7,2.38,6.25,6.75,6.84,6.91,7.08,7.5,7.75,7.98,8.22,8.73,9.13,10.68,15.75,16.21,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1330.52,1330.55,1330.505,1330.522,1330.44,1330.436,1330.365,1330.417,1330.655,1330.344,1329.98,1329.999,1329.737,1329.485,1329.438,1329.493,1328.847,1329.03,1328.969,1329.013,1328.918,1329.189,1328.975,1328.931,1328.889,1328.586,1328.562,1328.51,1328.484,1328.533,1328.698,1328.668,1328.648,1328.694,1328.644,1328.771,1328.633,1328.985,1329.035,1328.923,,,,,,,,,,,,,,,,,,,,,
650,117140,,,,,,,,,,,,,,,,20,19.28,18.83,17.89,15.7,15.17,13.92,13.25,12.28,10.15,9.84,9.65,8.5,7.9,4.47,4.27,4.22,4.16,4.05,3.98,3.88,3.69,0.44,0,3.45,3.94,6.32,6.88,7.99,8.81,9.42,11.3,13.44,15.14,16.64,18.53,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1330.702,1330.645,1330.739,1330.896,1330.287,1330.274,1329.975,1329.932,1329.905,1329.941,1330.004,1329.976,1329.143,1329.017,1329.146,1329.081,1329.149,1329.03,1329.096,1329.134,1329.024,1329.011,1329.019,1329.281,1328.903,1328.886,1328.746,1328.771,1328.72,1329.062,1329.196,1328.959,1329.096,1329.237,1329.221,1329.105,1328.977,,,,,,,,,,,,,,,,,,,,,,,,,,
651,117155.6,,,,,,,,,,,,,,,,,,,,,,20,17.16,15.24,13.93,13.04,10.8,10.21,9.41,9.19,7.51,6.37,4.84,1.76,1.11,1.03,0.93,0.28,0,1.12,5.51,6.24,6.44,6.72,6.86,7.18,7.43,8.33,10.27,10.99,11.85,13.43,14.11,14.75,18.18,19.22,19.6,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1330.547,1330.679,1330.587,1330.992,1330.322,1330.181,1330.204,1329.828,1329.769,1329.703,1329.783,1328.872,1329.018,1328.966,1328.938,1329.007,1328.969,1329.203,1329.018,1328.909,1328.871,1328.879,1328.751,1328.845,1328.97,1329.044,1329.004,1328.858,1328.897,1328.887,1329.149,1329.228,1329.478,1329.244,1329.018,1328.971,1328.915,,,,,,,,,,,,,,,,,,,,
652,117160,,,,,,,,,,,,,,,20,14.97,14.14,13.59,13.21,12.26,12,11.57,10.39,10.13,9.89,8.52,3.03,1.48,1.43,1.41,1.39,1.36,1.34,1.3,1.27,1.24,1.21,1.16,0,0.45,0.48,6.15,6.33,6.38,6.45,6.48,6.56,6.63,6.85,9.45,9.68,9.95,12.12,13.05,13.94,15.44,16.94,17.5,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1330.495,1330.627,1330.648,1330.763,1330.496,1330.473,1330.451,1330.255,1330.295,1330.22,1330.251,1329.559,1329.245,1328.968,1328.991,1328.965,1329.019,1328.955,1329.031,1329.008,1329.009,1329.009,1328.92,1329.002,1329.178,1328.943,1329.022,1328.867,1328.838,1328.852,1328.87,1328.919,1328.92,1328.95,1328.866,1328.779,1328.781,1328.801,1329.172,1329.299,1329.567,1329.426,1329.151,1329.137,1328.945,,,,,,,,,,,,,,,,,,,
653,117177.29,,,,,,,,,,,,,,,,,,,20,18.92,17.07,14.11,12.68,12.46,10.94,10.86,9.65,8.68,7.7,7.61,7.09,6.51,5.87,5.07,4.29,3.06,2.09,1.2,0,1.24,1.41,3.62,7.95,8.05,8.69,11.79,11.92,12.17,12.4,12.69,13.27,13.48,13.68,14.78,15.6,17.22,18.35,18.98,19.84,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1330.218,1330.346,1330.354,1330.359,1330.191,1330.198,1330.753,1330.721,1330.124,1329.971,1329.802,1329.866,1329.759,1329.878,1329.673,1329.624,1329.447,1329.687,1329.048,1328.816,1329.048,1328.854,1328.899,1328.806,1328.743,1328.705,1328.612,1328.609,1328.579,1328.692,1328.721,1328.772,1328.803,1328.854,1328.757,1328.69,1328.689,1328.757,1328.705,1328.855,1328.776,1328.845,,,,,,,,,,,,,,,,,,
654,117180,,,,,,,,,,,,,,,,,20,18.95,17.46,15.09,13.95,13.34,12.1,11.82,10.83,10.04,9.22,8.88,7.83,7.66,7.05,6.23,4.72,4.47,4.38,4.25,2.24,0.31,0,1.65,1.67,1.89,8.33,8.37,8.66,12.3,12.38,12.51,12.63,12.8,13.11,13.22,13.33,13.93,14.38,16.39,17.78,18.56,19.09,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1330.264,1330.341,1330.287,1330.365,1330.177,1330.188,1330.644,1330.61,1330.186,1329.948,1329.881,1329.824,1329.97,1329.948,1329.787,1329.637,1329.8,1329.718,1329.795,1329.773,1328.847,1328.837,1329.018,1328.848,1328.848,1328.806,1328.673,1328.656,1328.697,1328.566,1328.615,1328.635,1328.688,1328.706,1328.707,1328.722,1328.753,1328.712,1328.67,1328.69,1328.706,1328.818,1328.844,1329.002,,,,,,,,,,,,,,,,,,
655,117200,,,,,,,,,,,,,,,,20,19.57,18.72,17.54,15.82,15.13,12.98,12,11.63,11.22,10.13,8.6,8.43,8.17,6.43,6.23,6.1,5.01,4.89,2.16,2.08,1.4,0.26,0,0.14,1.7,4.93,4.99,5.04,5.84,11.23,12.23,13.12,13.62,14.02,14.25,14.59,14.73,15.23,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1329.841,1329.802,1329.997,1330.018,1329.733,1329.793,1329.764,1329.59,1329.67,1329.714,1329.858,1329.769,1329.769,1329.767,1329.587,1329.545,1329.494,1329.382,1329.332,1329.416,1329.45,1329.38,1329.182,1329.429,1329.084,1328.509,1328.514,1328.537,1328.588,1328.596,1328.473,1328.487,1328.496,1328.497,1328.486,1328.523,1328.538,1328.545,1328.586,1328.56,,,,,,,,,,,,,,,,,,,,,,,
656,117217.5,,,,,,,,,,,,,,,,,,18.92,18.63,17.83,16.78,15.5,14.78,13.6,12.35,11.36,10.28,10.22,10.14,8.34,7.04,6.62,6.55,6.46,3.05,2.92,2.21,0.85,0,2.37,3.09,4.1,4.94,5.52,6.54,7.17,8.75,9.29,12.36,15.72,18.16,19.58,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1329.683,1329.637,1329.613,1329.915,1330.054,1329.917,1329.739,1329.568,1329.367,1329.297,1329.265,1329.325,1329.4,1329.3,1329.319,1329.345,1329.406,1329.713,1329.625,1329.487,1329.163,1329.328,1328.85,1328.889,1328.5,1328.24,1328.294,1328.334,1328.362,1328.314,1328.369,1328.314,1328.195,1328.164,1328.181,1328.213,,,,,,,,,,,,,,,,,,,,,,,,,
657,117220,,,,,,,,,,,,,,,19.34,18.89,17.6,16.73,15.65,15.04,14.06,13,12.18,11.27,11.08,10.87,9.35,8.25,6.02,5.9,5.71,5.64,5.56,5.45,4.64,4.41,2.91,2.2,0,0.27,0.44,2.39,3.22,4.38,5.35,6.02,7.19,7.49,9.32,9.61,13.93,16.23,17.89,18.86,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1329.587,1329.637,1329.551,1329.839,1329.985,1329.799,1329.705,1329.508,1329.304,1329.345,1329.33,1329.351,1329.408,1329.292,1329.328,1329.352,1329.301,1329.299,1329.368,1329.375,1329.494,1329.425,1329.589,1329.482,1329.353,1329.083,1329.098,1328.832,1328.885,1328.528,1328.277,1328.257,1328.373,1328.292,1328.251,1328.253,1328.304,1328.193,1328.192,1328.187,1328.106,,,,,,,,,,,,,,,,,,,,,,,
658,117240,,,,,,,,,,,,,,,,,,20,17.32,16.29,14.85,13.27,12.79,12.17,10.88,10.4,9.88,9.27,7.37,7.06,6.19,5.14,3.34,3.08,2.07,1.06,0.63,0.31,0,0.2,0.32,1.38,2.69,3.5,4.85,5.73,6.1,6.88,7.56,8.2,8.86,9.36,9.85,10.05,10.71,11.71,12.36,13.12,13.8,15.39,20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1329.434,1329.4,1329.419,1329.326,1329.128,1329.01,1329.282,1329.576,1329.488,1329.503,1329.468,1328.943,1329.005,1328.797,1328.629,1328.672,1328.672,1328.71,1328.748,1328.675,1328.597,1328.918,1328.798,1328.79,1328.93,1328.618,1328.624,1328.515,1328.391,1328.288,1328.478,1328.39,1328.268,1328.271,1328.183,1328.013,1327.916,1327.973,1328.108,1328.176,1328.104,1328.102,1328.061,1327.973,,,,,,,,,,,,,,,,,
659,117260,,,,,,,,,,,,,,,,,,,,,,20,19.87,15.87,12.58,10.05,9.42,8.48,8.02,7.1,5.45,5.22,4.51,4.42,4.33,3.6,3.5,1.83,0,0.29,0.53,0.58,0.88,1.79,2.08,3.1,4.2,5.27,5.8,6.54,7.24,8.79,9.83,11.26,12.06,12.95,13.78,14.63,15.82,17.24,17.89,18.98,19.34,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1329.238,1329.277,1329.321,1329.045,1328.892,1328.795,1328.696,1328.608,1328.685,1328.925,1328.913,1328.93,1328.961,1328.945,1328.778,1328.826,1328.803,1328.53,1328.31,1328.383,1328.45,1328.429,1328.47,1328.449,1328.407,1328.248,1328.282,1328.134,1328.223,1328.464,1328.25,1328.123,1328.03,1328.082,1328,1327.915,1327.786,1328.088,1327.854,1327.827,1327.745,1327.827,1327.813,,,,,,,,,,,,,,
660,117280,,,,,,,,,,,,,,,,,,,,,20,17.63,16.57,14.76,13.99,13.23,12.51,11.79,11.08,10.04,8.86,8.17,6.51,6.07,3.53,3.38,1.7,1.62,0,0.3,0.61,1.21,1.73,1.84,2.75,4.41,5.46,5.99,7.5,8.05,9.17,10.68,11.6,13.57,13.84,14.64,15.7,17.23,19.63,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1329.122,1329.128,1328.902,1328.867,1328.605,1328.469,1328.423,1328.504,1328.545,1328.608,1328.548,1328.508,1328.417,1328.383,1328.321,1328.42,1328.255,1328.287,1328.339,1328.238,1328.166,1328.37,1328.404,1328.308,1328.49,1328.256,1328.163,1327.799,1327.776,1327.624,1327.651,1327.711,1327.701,1327.908,1327.759,1327.844,1327.613,1327.573,1327.424,1327.45,,,,,,,,,,,,,,,,,,
661,117300,,,,,,,,,,,,,,,,,,,,20,17.56,17.14,14.24,12.86,9.91,9.81,8.18,7.52,6.96,5.8,5.22,3.77,3.73,2.36,2.32,1.79,0.52,0.5,0,3.17,4.25,4.25,4.25,4.94,5.34,6.45,7.29,8.35,10.07,11.57,11.73,13.12,14.71,16.46,17.25,17.73,18.53,19.44,19.6,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1328.828,1328.712,1328.736,1328.579,1328.499,1328.397,1328.393,1328.372,1328.445,1328.219,1328.164,1327.991,1327.825,1327.757,1327.922,1327.923,1327.884,1327.89,1327.928,1328.176,1327.789,1327.763,1327.783,1327.783,1327.721,1327.796,1327.631,1327.592,1327.519,1327.519,1327.498,1327.412,1327.3,1327.247,1327,1327.066,1327.541,1327.544,1327.037,1327.031,1327.006,,,,,,,,,,,,,,,,,,
662,117305,,,,,,,,,,,,,,,,,20,19.88,18.23,17.43,16.09,12.87,11.68,11.38,10.72,10.45,10.22,5.13,4.8,3.97,3.74,2.96,2.56,2.26,1.55,0.95,0.68,0.35,0,2.01,2.6,3.21,3.67,5.22,14.28,15.04,15.78,16.52,17.33,17.7,17.92,18.29,18.72,19.96,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1328.83,1328.787,1328.686,1328.792,1328.728,1328.351,1328.242,1328.282,1328.338,1328.289,1328.265,1328.138,1328.098,1327.925,1327.919,1327.943,1327.977,1327.917,1327.976,1327.953,1327.971,1327.793,1328.03,1327.689,1327.756,1327.648,1327.579,1327.57,1327.242,1327.251,1327.132,1327.117,1327.043,1327.033,1327.216,1327.232,1327.058,1327.027,1326.975,,,,,,,,,,,,,,,,,,,,,,,
663,117314.38,,,,,,,,,,,,20,19.86,19.75,19.41,17.39,16.44,16.37,16.12,15.73,13.95,13.73,13.64,12.7,12.69,12.69,11.68,11.36,11.02,10.96,10.83,5.64,4.99,4.65,4.55,4.47,1.26,0.79,0,0.16,0.92,1.22,1.52,13.52,15.92,16.27,16.66,17.02,17.4,17.78,18.21,18.81,19.34,20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1328.462,1328.448,1328.431,1328.384,1328.316,1328.227,1328.289,1328.192,1328.199,1328.129,1328.125,1328.086,1328.155,1328.136,1328.085,1327.962,1327.999,1328,1327.911,1327.915,1327.84,1327.948,1327.916,1327.917,1327.935,1327.744,1327.575,1327.947,1327.785,1327.541,1327.54,1327.615,1327.139,1327.143,1327.174,1327.117,1327.015,1326.974,1326.921,1326.924,1326.874,1326.846,1326.834,,,,,,,,,,,,,,,,,,,,,,,,
664,117320,,,,,,,,,,,20,18.65,18.2,17.86,14.48,14.44,12.44,12.01,10.88,9.65,9.43,9.18,9.12,9.09,8.14,8,7.75,6.22,5.85,4.5,4.3,3.94,3.44,2.58,2.39,2.18,0.83,0.69,0,0.45,0.97,1.06,1.77,3.9,4.72,5.56,8.53,13.54,14.29,15.1,15.85,16.64,17.44,18.35,19.63,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1328.605,1328.467,1328.616,1328.546,1328.251,1328.308,1328.146,1328.08,1328.007,1328.004,1327.928,1327.919,1327.927,1327.897,1327.784,1327.744,1327.839,1327.717,1327.774,1327.602,1327.547,1327.653,1327.68,1327.671,1327.744,1327.786,1327.539,1327.527,1327.753,1327.552,1327.693,1327.71,1327.969,1327.295,1327.433,1327.477,1327.409,1327.293,1327.335,1327.28,1327.151,1326.999,1326.845,1326.83,1326.812,1326.821,,,,,,,,,,,,,,,,,,,,,,
665,117340,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.68,16.66,14.92,12.97,12.15,11.53,10.9,5.62,5.31,4.91,1.2,0,2.21,2.52,2.58,4.22,4.38,6.07,6.28,7.92,8.22,9.81,10.15,11.06,11.76,12.17,14,14.97,16.24,16.98,19.57,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.939,1328.911,1328.851,1328.807,1328.634,1328.569,1328.556,1328.576,1328.429,1328.403,1328.426,1328.204,1328.288,1327.865,1327.774,1327.826,1327.798,1327.814,1327.747,1327.82,1327.703,1327.694,1327.541,1327.514,1327.66,1327.657,1327.681,1327.4,1327.038,1327.043,1327.057,1327.14,1327.056,,,,,,,,,,,,,,,,,,,
666,117356.26,,,,,,,,,,,,,,,,,,,,,,,20,16.89,16.31,15.89,15.29,14.42,13.37,12.53,10.63,10.28,9.38,7.3,7.25,7.18,6.89,5.07,0,3.27,3.35,4.44,4.88,5.14,6.68,7.81,8.22,9.12,9.56,10.75,11.63,16.21,17.65,20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1328.881,1328.898,1328.855,1328.827,1328.785,1328.678,1328.55,1328.521,1328.428,1328.541,1328.43,1328.221,1328.285,1328.241,1328.247,1328.228,1328.351,1328.077,1328.022,1327.952,1327.871,1327.913,1327.857,1327.614,1327.612,1327.642,1327.648,1327.689,1327.587,1327.129,1327.193,1327.129,,,,,,,,,,,,,,,,,,,,,,,,
667,117360,,,,,,,,,,,,,,,,,20,15.77,15.62,14.94,14.91,14.86,14.24,13.21,12.96,12.05,11.94,11.53,9.75,8.83,8.78,8.53,7.74,7.64,6.23,6.07,3.82,2.23,0,0.85,1.33,1.78,2.36,2.9,3.76,3.91,4.33,4.55,4.62,5.29,5.78,6.26,6.65,6.68,7.18,7.9,9.17,9.2,9.97,11.73,11.98,12.11,13.11,16.52,17.24,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1328.882,1328.864,1328.903,1328.822,1328.761,1328.838,1328.693,1328.661,1328.728,1328.79,1328.79,1328.768,1328.54,1328.416,1328.434,1328.406,1328.475,1328.429,1328.419,1328.398,1328.403,1328.133,1328.286,1328.112,1328.054,1328.122,1328.093,1328.238,1327.943,1327.864,1327.794,1327.777,1327.771,1327.707,1327.866,1327.758,1327.779,1327.709,1327.673,1327.636,1327.595,1327.581,1327.572,1327.557,1327.5,1327.556,1327.535,1327.174,1327.216,1327.107,,,,,,,,,,,,
