No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
40,108458.72,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.45,16.86,16.81,16.78,10.36,9.95,9.51,5.97,5.75,5.48,4.48,0,4.37,12.19,19.73,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.113,1453.237,1453.297,1453.34,1453.314,1453.08,1453.168,1453.18,1452.987,1452.888,1452.851,1452.785,1452.923,1452.155,1452.226,1452.052,1451.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,108460,,,,,,,,,,,,,,,,,,,,,,,,,20,18.88,17.75,17.04,17.02,16.98,10.93,10.09,9.37,9.29,6.65,3.28,3.27,3.14,0,4.71,6.16,7.4,13.02,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1453.111,1453.176,1453.209,1453.296,1453.326,1453.269,1453.182,1453.148,1453.193,1453.16,1452.982,1452.842,1452.799,1452.785,1452.917,1452.143,1452.092,1452.115,1452.185,1451.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,108480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.85,12.19,12.17,8.7,8.65,8.58,7.77,0,3.85,3.89,11.92,12.09,12.1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.152,1453.219,1453.079,1453.152,1453.052,1453.026,1453.064,1452.863,1452.827,1452.469,1452.498,1452.121,1452.165,1452.105,1451.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,108500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.46,15.24,8.91,8.88,0.83,0,0.45,13.44,13.61,13.83,13.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.96,1452.96,1453.009,1452.687,1452.665,1452.459,1452.679,1452.4,1451.867,1451.89,1451.843,1451.82,1451.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,108520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.87,18.03,16.9,14.6,11.63,10.69,8,0,7.43,7.5,7.7,7.87,8.02,11.33,14.34,16.69,17.31,17.37,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.813,1452.74,1452.734,1452.666,1452.64,1452.487,1452.25,1452.004,1452.299,1451.715,1451.67,1451.568,1451.722,1451.684,1451.463,1451.34,1451.246,1451.234,1451.311,1451.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,108540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.16,15.35,15.2,15.02,3.6,3.59,3.55,3.44,0,7.81,8.15,9.88,15.86,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.585,1452.293,1452.358,1452.364,1452.384,1451.882,1451.888,1451.896,1451.896,1451.986,1451.298,1451.264,1451.266,1451.191,1450.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,108560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.59,18.67,18.61,12.62,12.57,9.13,9.05,0,9.84,10.39,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.3,1452.278,1451.934,1451.998,1451.797,1451.719,1451.792,1451.719,1451.735,1451.059,1451.037,1450.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,108580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.9,16.57,16.53,14.91,14.71,11.45,11.36,5.33,5.22,0,6.43,6.56,6.61,15.99,16.34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.025,1451.978,1452.024,1452.093,1451.917,1451.92,1451.648,1451.648,1451.356,1451.283,1451.503,1451.07,1451.085,1451.052,1450.462,1450.434,1450.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
