Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/6/2024 8:45:25 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
552,20+000.00,8.054m,"1,262.185m",
553,20+000.00,11.591m,"1,262.453m",
554,20+000.01,13.921m,"1,262.416m",
555,20+000.04,14.913m,"1,262.378m",
556,19+979.94,-14.953m,"1,261.025m",
557,19+979.91,-13.303m,"1,260.989m",
558,19+979.98,-12.696m,"1,260.870m",
559,19+980.00,-10.641m,"1,261.286m",
560,19+980.02,-10.150m,"1,261.214m",
561,19+980.02,-9.861m,"1,261.125m",
562,19+979.96,-2.774m,"1,261.151m",
563,19+980.04,0.056m,"1,261.356m",
564,19+979.93,3.651m,"1,261.556m",
565,19+979.93,5.873m,"1,261.455m",
566,19+979.96,9.244m,"1,261.546m",
567,19+980.00,10.515m,"1,261.644m",
568,19+980.05,11.497m,"1,261.666m",
569,19+979.95,14.843m,"1,261.815m",
570,19+960.01,-15.091m,"1,259.792m",
571,19+960.03,-11.506m,"1,260.017m",
572,19+960.01,-9.270m,"1,260.103m",
573,19+959.90,-6.197m,"1,260.250m",
